time,obs_0,x_0,x_1,regime
1.56,0.07886599606916656,0.2873540804106243,-0.33474183121401957,0
1.57,nan,0.28400666209848413,-0.3369458883556978,0
1.58,0.19217829404429437,0.28063720321492713,-0.3391120631999712,0
1.59,0.186926988846416,0.27724608258292743,-0.34124021110572056,0
1.6,0.46732641975966993,0.27383368047187023,-0.3433301915093384,0
1.61,0.3393924405149181,0.27040037855677684,-0.3453818679310384,0
1.62,0.07377293659460038,0.26694655987746646,-0.34739510798074413,0
1.6300000000000001,0.07545363251319659,0.263472608797659,-0.3493697833635573,3
1.6400000000000001,0.4390215951589748,0.2599789109640234,-0.3513057698848068,3
1.6500000000000001,0.2747733371645692,0.25646585326517535,-0.3532029474546774,3
1.6600000000000001,0.26415244779736397,0.25293382379062856,-0.3550612000924198,3
1.67,0.2657335353125777,0.24938321178970438,-0.35688041593014125,3
1.68,0.4281716081828157,0.24581440763040296,-0.358660487216178,3
1.69,-0.03767153730774775,0.24222780275824118,-0.3604013103180497,3
1.7,0.06359643940433093,0.23862378965506068,-0.362102785724996,3
1.71,0.2908195475052935,0.2350027617978107,-0.3637648180500966,3
1.72,0.2920715778236927,0.23136511361730974,-0.3653873160319745,3
1.73,0.04711236136118663,0.22771124045699,-0.36697019253608365,3
1.74,0.33013694438632896,0.22404153853162917,-0.36851336455558137,3
1.75,-0.005497148221340259,0.22035640488607336,-0.3700167532117865,3
1.76,0.2801694819896531,0.2166562373539555,-0.37148028375422365,3
1.77,0.24864706976014134,0.21294143451641326,-0.3729038855602548,2
1.78,0.1956608499590023,0.2092123956608107,-0.3742874921342984,2
1.79,0.2592525159262848,0.20546952073946773,-0.3756310411066379,2
1.8,0.23043372771820006,0.20171321032840134,-0.3769344742318193,2
1.81,0.05961512177652764,0.19794386558608315,-0.3781977373866397,2
1.82,0.1375005133724657,0.19416188821221675,-0.37942078056772727,2
1.83,0.015674819439470883,0.19036768040653948,-0.380603557888714,2
1.84,0.27330777273451257,0.18656164482765233,-0.38174602757700193,2
1.85,0.16836420066828062,0.18274418455188232,-0.38284815197012445,2
1.86,0.006200512877998304,0.17891570303218107,-0.383909897511703,2
1.87,0.37163321856200215,0.17507660405706404,-0.3849312347470014,2
1.8800000000000001,0.40719082132089524,0.17122729170959403,-0.3859121383180781,2
1.8900000000000001,0.04086086736748304,0.16736817032641324,-0.38685258695853786,2
1.9000000000000001,0.21129917777670082,0.16349964445682785,-0.3877525634878849,2
1.9100000000000001,0.06898556412020189,0.15962211882194902,-0.3886120548054774,2
1.92,0.22997081639292277,0.15573599827389425,-0.38943105188408594,2
1.93,0.2130745705482618,0.15184168775505338,-0.3902095497630567,2
1.94,0.26186903531249917,0.14793959225742281,-0.39094754754108113,2
1.95,0.24591126340754565,0.144030116782012,-0.3916450483685732,2
1.96,0.2265018741660414,0.14011366629832628,-0.3923020594396562,2
1.97,0.17372688997859892,0.13619064570392972,-0.3924185919837601,1
1.98,0.220299906187923,0.13226645978409213,-0.3924956612568319,1
1.99,0.11547129523867414,0.12834150317152382,-0.39253333453215916,1
2.0,0.22736563788048803,0.12441616982620222,-0.3925316828948101,1
